fips,County Population,Total Elderly Count,Elderly per Capita,Maskless per Capita,ICU Beds,Rate of Change,Density per square mile
13127,85292,17998,0.21101627350748,0.048,24,29.71,189.7
13129,57963,8856,0.15278712281973,0.172,8,43.71,155.1
13131,24633,4563,0.185239313116551,0.063,4,9.32,55.0
13133,18324,5362,0.292621698319144,0.062,0,12.58,41.3
13135,936250,97934,0.104602403204272,0.036,82,553.68,1871.2
13137,45328,8500,0.18752206141899,0.063,4,44.68,155.5
13139,204441,31489,0.154024877593046,0.061,85,176.35,457.5
13141,8457,2015,0.238264159867565,0.043,0,4.55,20.0
13143,29792,4832,0.16219119226638,0.184,0,16.71,102.0
13145,35236,6807,0.193183108184811,0.093,0,12.81,69.0
13147,26205,5788,0.220873879030719,0.092,0,21.45,108.5
13149,11923,2180,0.182839889289608,0.126,0,6.03,40.0
13151,234561,28018,0.119448672200408,0.103,40,146.71,633.0
